12	4
12	11
2.5	7.5
8	1
5.25	19
3.5	10
20	1
11.75	12
4.5	6.5
6	13
5.25	14
5.5	13.5
19	15
12.25	19
6.5	17
7	11
6.75	1
7.5	6
17	6
12.25	10
8.5	8
4	1
6.25	13
9.5	7
18	16
13.75	20
10.5	18
2.5	8
3	16
2.75	12
3.5	7
7	17
5.25	12
4.5	6
13	16
8.75	11
5.5	13
9	12
7.25	12.5
6.5	8
17	5
11.75	6.5
7.5	18
6	15
6.75	16.5
8.5	2
15	3
11.75	2.5
9.5	6
9	5
9.25	5.5
10.5	6
5	1
7.75	3.5
11.5	5
3.5	9
19	7
11.25	14
4.5	19
11	16.5
7.75	2
5.5	12
19	7
12.25	4
6.5	10
20	7
13.25	5
7.5	1
11	3
9.25	20
8.5	11
6	15.5
7.25	12
9.5	10
15	11
12.25	1
10.5	7
6	4
8.25	10
11.5	2
1	6
6.25	12
12.5	4
4.5	8
11	10
7.75	2
5.5	6
7	3
6.25	10
6.5	6.5
20	4
13.25	5
7.5	4.5
9	12
8.25	1
8.5	6.5
12	12
10.25	14
9.5	13  
